EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-14.409,48.764,11.626,-13.102,-9.245,36.090,44.818,13.696,-0.026,0.921,-0.457,0.519,-0.183,-0.275,73.333,30395.000,1.000
-11.073,51.298,13.468,-6.856,-8.322,38.220,42.403,7.734,-0.025,0.921,-0.457,0.427,-0.275,-0.214,73.333,30396.000,1.000
-7.794,53.905,13.903,1.308,-6.709,40.324,39.056,0.733,-0.026,0.921,-0.454,0.366,-0.305,-0.275,73.333,30397.000,1.000
-4.487,55.614,13.225,10.468,-3.949,41.892,35.784,-6.178,-0.025,0.921,-0.454,0.427,-0.336,-0.305,73.333,30398.000,1.000
-0.908,55.830,12.235,20.053,0.067,42.985,33.872,-11.809,-0.028,0.921,-0.451,0.366,-0.275,-0.397,73.333,30399.000,1.000
2.909,53.626,11.428,29.775,4.759,43.456,34.177,-15.226,-0.030,0.922,-0.449,0.275,-0.336,-0.549,73.333,30400.000,1.000
6.387,47.898,10.579,39.297,8.954,42.578,36.400,-16.042,-0.031,0.922,-0.449,0.275,-0.458,-0.702,73.333,30401.000,1.000
8.704,38.401,9.157,48.049,11.609,39.727,39.317,-14.273,-0.030,0.924,-0.450,0.244,-0.519,-0.793,73.333,30402.000,1.000
9.342,26.146,7.070,55.459,12.589,35.436,42.764,-9.339,-0.030,0.923,-0.453,0.183,-0.519,-0.824,73.333,30403.000,1.000
8.399,13.170,4.960,61.030,12.398,31.022,46.858,-1.089,-0.031,0.922,-0.452,0.153,-0.641,-0.916,73.333,30404.000,1.000
6.479,1.268,3.720,64.613,11.696,27.848,51.894,10.141,-0.030,0.921,-0.455,0.092,-0.824,-1.038,73.333,30405.000,1.000
4.264,-8.904,3.695,66.542,10.842,26.355,57.558,23.193,-0.029,0.923,-0.454,0.000,-0.885,-0.916,73.333,30406.000,1.000
2.047,-17.902,4.051,67.310,9.619,25.479,62.397,36.021,-0.028,0.923,-0.453,0.092,-0.885,-0.977,73.333,30407.000,1.000
-0.265,-26.743,3.142,67.083,7.547,23.598,65.513,47.085,-0.026,0.921,-0.455,0.000,-0.916,-1.007,73.333,30408.000,1.000
-2.681,-35.377,0.293,65.329,4.436,19.951,66.723,55.517,-0.025,0.920,-0.456,0.092,-0.916,-0.946,73.333,30409.000,1.000
-4.925,-42.481,-2.883,61.311,0.802,15.435,67.272,61.678,-0.023,0.921,-0.452,-0.031,-0.916,-0.916,73.333,30410.000,1.000
-6.602,-45.959,-3.481,54.795,-2.427,11.756,68.689,66.155,-0.022,0.921,-0.452,0.061,-0.946,-0.763,73.333,30411.000,1.000
-7.432,-43.696,0.591,46.362,-4.316,10.339,71.343,68.724,-0.022,0.922,-0.452,0.153,-0.885,-0.671,73.333,30412.000,1.000
-7.484,-34.743,9.322,37.406,-4.306,11.902,74.979,69.039,-0.021,0.923,-0.450,0.122,-0.702,-0.458,73.333,30413.000,1.000
-7.313,-19.986,20.330,29.405,-2.811,15.629,77.766,66.005,-0.020,0.922,-0.451,0.061,-0.671,-0.336,73.333,30414.000,1.000
-7.651,-2.131,29.830,23.343,-0.880,19.598,77.666,58.569,-0.022,0.920,-0.449,0.000,-0.549,-0.183,73.333,30415.000,1.000
-8.684,16.070,35.020,19.741,0.739,22.523,73.974,46.679,-0.021,0.919,-0.450,0.092,-0.397,0.000,73.333,30416.000,1.000
